,sentence,error_0,error_1,error_2,error_3,error_4
101,abetsikayetiri ashiyetirori okantakoyetaka ashiyetirori anampiki,abetsikayetiri qshiyetirori okantakoyetaka aashiyetirori anampiiki,abetikayetiri ashiyetirori okantakoyetaka ashiyetirrori anampiki,abetsikayetiri ashyetirori okantakoetaka ashiyetirori anampkki,abeetsikayetiri ashiyetirori okantakoyetaka ashiyetirori anmpiki,abetsikayetiri ashiyetirori okantakoyetaka ashiyetirori anampii
102,abetsike akiparentsi koayetachane,abetsike akiparentsi koayehtachane,abetsjke akiparentsi koayetachane,abetsike akiparentsi koaytachane,abetsike akiparentai kkoayetachane,abetsijke akiparentsi loayetachane
103,abetsike antaro omoro apankitantyarori shiokaintsiri,abetsike anttaro omoro apankitantyarori shiokqintsiri,abetsike antaro omoro apankigantyarori shiokaintsiri,abetsike antaro ooro apankitantyarori shiokaintsiri,abetsike antafro omoro apankitantyaroi shiokaintsirri,abetsike antaro omoro apankitantyyarori shiokaintsiri
104,abetsike apani compostera abametsatantyarori kipatsi ashi obane yotantsipanko,abetsie aani compostera abametsatantyarori kiptsi ashi ñbane yotantsipako,abetsie apani conmpostera abqametsatantyarori kipatsi qashi obane yyotantsipanko,abetsike xapani compoatera abametsaytantyarori kipatsi zashi oane yotantsipanko,abetsike apani composterza abametsatantyarori lipatsi asi bane yotantsiopanko,abetsike apani compostera abametsatantyarori kipatsi axhi obane yotantsipanko
105,abetsike apani okayetachari ainijantantyarori antakeri,abetsikde apani okayetachari ainijantantyarori antakderi,abetike apani okayetachari ainijantantyarori antakeri,abetsike apani okayetachatri ainijantantyarori antakeri,abetsike apni okayetavchari ainijantantyarori antalkeri,ahbetsike apai okayetachari ainijantantyarori antakei
106,abetsike impoiji ankempoyero obanarontsipe pamenero shiyakantsi,abetsike impoiji ankempoyero obanarotsipe ñamenero shiyakantsi,abetsike impoiji ankempoyero obanarontsipe pamenero shiyakantsi,abtsike ijpoiji ankempoyero obanaromtsipe pamenero shiyakantsi,abetsike impoji abnkempoyero obanarontsipe pamenwro shiyakantsi,abetsike impoij ankempoyero obanarontsipe pameneo shiyakantsi
107,abetsike kitamapanaroki ojikotimaityaro chochokipe yobari atiripe piratsipe aisati tsimeripe,abetsike kitammapanaroki ojikotimaityaro chochkokipe yobarli atiripe pliratsipe aisati tsimeripe,abetsike kitamapanwaroki ojikotomaityaro chochokipe yobari atirip piratsipe aisat tsimripe,abetsike kitamapanaroki ojikottimaityaro chochokipe yobari atripe piratsipe aisati tsimeripe,abetike kitampanaroki ojikotimaityqro chochokipe yobwri atirlipe piratsipe aisati tsimeripe,agetsike kitamapanarokji ojikotimaityao chochokipe yobari atiripe piraysipe aisatli tsimeripe
108,abetsike kitamapanaroki okotimaityaro chochokipaye yobari atiripaye piratsipe ejati tsimeripaye,abetdsike kotamapanaroki okotimaityaro chochokipaye yobari atiripaye piratsipe ejati tsimeripaye,abetsike kitamapanwroki okotimalityaro chocokipaye yobarri atiripaye pirasipe ejati tsimeripaye,abetsik kitamapanaroki okotimaityaro chochokipaye yobari aftiripaye piratsipe ejatl tsimeripaye,abetssike kitamapanaroki ñkotimaityaro cochokipaye yobari atiripaye piratsipe ejat tsimeripaye,sabetsike kitamapanaroki okotimaityaro chochokipaye yobari atiripaye piratsipe ejati tsimedipaye
109,abetsikero aisati asankentakotero aakeri,abetsikero aisati asankentakotero akeri,abetsikero aisati asankentakotero akeri,abetsikero aiati sankentakotero aakei,abetsikro aisati asankentakotero aakeri,abetsikfro aisxati asankenttakotero aakeri
110,abetsikero amonkarayeteri apatyabakantyari eiro otimanta kariperotantsi,qbetsikero amonkarayeteri apatyabsakantyari eiro otumanta kariperotanytsi,abetskero ajmonkarayeteri apatyabakantyari eirio otimanta kariperotantsi,abetsikero amonkarayetei apatyabakantyari eiro otkimanta kariperotantsi,abetsikero amonkarayeteri apatyabakantyari iro otimanta kariperotantsi,abetsikero amonkarayeteri apatyabakantyari elro otimanta kariperotansi
111,abetsikero ashitakorentsi antsipatanakiari iriperori yotirori yobetsikiro,abetsikero ashitakogrentsi antsipatanzkiari iiriperori yotirori yobetsikiro,abetsikero ashitakorentsi antsipatanakiwari iriperori yotirri yobetsikiro,abetslikero ashitakorentsi antsipatanakiari irierori yotiror yobetsikro,abetsikero ashitakorentsi antsipatanakiatri iriperori yotirori yobetsikiro,abetsikero ashitakorentsi antsipatanakiari iiperori yotirori yobeftsikiro
112,abetsikero potsorentsipe paita antayeteri,abetsiero potorentsipe paita antaeteri,abetsikero potsorentsips paita antauyeteri,abetsilero potsorentsipe opaita antayetdri,abetsikefro potsorentsipe pait antayetri,abetsikero potsoremtsipe paitwa antayeteri
113,abetsikitanakea kametsa omoro ikiantyari tsimeripe,abetsikitanakea kametsa omooro ikiantyari tsimwripe,abetsikitanakrea kamfetsa omoro ikiantyari tsimeripe,abetsikitanakea kametsa omork ikiantyaro tsimreripe,abetsikitanakea kamtsa omoro ikiantyari tsimeipe,abetsikitanakea kametsa omoro ikuiantyari tsimeripe
114,abijeitiri otimayetiri obasanotarori nosankenatero obajirope nonebesanotari nabijeiti nobajeityari impoiji nokantakotero paitakea,abijeitifri otimayetiri obasanotarori nosankenaterño obajirope nonebesanotari naijeiti nobajeityari impoji nokantakoterko paitakea,abijeiiri otimayetiri obasanotarori nosankenatero obajirope nonebesanotari nabijeiti nobajeityari impoiji nokanftakotero paitakea,abijeiyiri otimzayetiri obasanotarori nosannkenatero obajidrope nonebesanotari nabijeiti nobajeityari impoiji nokantakotero pwitakea,abijelitiri otimayetiri obasanotarori nosankenatero obajirope nonebesanotari jnabijeiti nobajeityari impoiji nokantkotero paitakea,abijeitiri timayetiri obasanotarori nosankenatero obajirope nonebwsanotari nsbijeiti nobajeityari impoii nokantakotero paitakea
115,abimaintyari ibatsa tyaapa terika chancho akonoakero tsitikana jero inki irosati oposatantanakea,aimaintyari ibatsa htyaapa teria chancuo akonozakero tsiikana jerño inli iosati oposatantaakea,abimaintyai ibatsa tyaapa terika chzancho akonoakeo tsitikan kjero inkii irosqti oposatantanakea,ablmaintyari ibatssa tywaapa terima chancho akonoakero tsitikana jro inki iroqsati oposatantanakea,abimaingtyari ibagtsa tyaañpa terikxa chancho sakonoakero tsitikaja jero inki irosati oposatantanakea,abimaintyari ibatsa taapa terika chancho akooakero gsitikana jero iniki irosxti oposatantanakea
116,abintantatsiri ikanti te abayeteaji obanarontsi kametsa,abintantatsiri ikanti tf abxayeteaji obanarontsi kametsa,abontantatsiri iianti fte abayeteaji obanarontsi kaetsa,sbintantatsiri ikanti e abayetexji obanrontsi kametsa,abintantatsiri ikantui te abayeteji obanarontqi kametaa,abintantatsiri iikanti ye abayeteaji obanarontsi kajmetsa
117,abintayetantyaarori mantsiyarentsi yayeetiri kajiro obakera timayetatsiri yaabentiro mantsiyarentsi kemitachari obakerarika opatsaninte ibiyonkari atiri atiriterori matatsi aabinterori ataiyarika,abijntayetantyaarori mantsiyarentsi yayeetiri kauiro bakera timyetatsiri yaabdentiro mantsiyarentsi kemitacharl obakerarikka opatsaninte ibiyonkri atiri atiriterori mxatatsi aabnterori ataiyarika,abintayetantyawarori mantsiyqrentsi yayeetigi kaniro obakefra timayehtatsiri yaabentitro mantsiyarentsi kemitxachari obakerarika opatszninte ibiyonkari atiri atiriterori matatsi aabinterori ataiyarik,abintayetantyaarori mantsiyarentsi yayeetiri ajiro obakedra imayetatsiri yaabentro mantsiyarentsi kemitchari obakerarika oatsaninte ibiyonkari atiri atiriterori matatqsi aabinterori ataiyarika,abintayetantyaarori mantsiyarentsi ayeetiri kairo bakera timayetatsiri yaabentiro mantsiyarentasi kemiachari obakeradika opatsanine ibiyonkari airi atiriterori matatsi aabinterori ataiyarika,abintayetantjaarori mantsiyarentsi yayeetiri kajiro obakera timayetatasiri jyaabentiro mzntsiyarentsi kemitachari obakerarika optsaninte ibiyonkari atirii atiriterorii matats aabingerori aaiyarika
118,abiotero ojempeki,abiotero ojempeki,abiotedo ojempeki,abiotero ojempeki,abiotero ojfempeki,abiotsero ojempdeki
119,abioyetero ojempekipe kari tasanotatsiri eirokea opomerentsitantatsi ariorika irointanake pankirentsipe kemperi kaniri shinki koricha pashinipe,abiogetero ojempekipe kari tzsanotatsiri eirokea opomerentsitntatsi ariorika irointanake pankirentsipe kemperi kaniri shinki koricha paeshinipe,abioyeteeo ojempkipe karoi tasanotatsiri eirokea opomerentsitantatsi aeiorika irointanake pankirentsipe ikemperi kaniri shinoki koricha pashinipe,abioyetero ojekmpekipe kqari tasanotatsiri eirokea opimerentsitantatsi ariorika irointanake pankuirentsipe kemperki kaniri shiki kkoricha pashihipe,abioyetero ojempekipr kri tasanofatsiri eirokea opomerengtsitantatsi riorika irointanake pankoirentsipe kempri kaniri shinki koridha pashinip,abioyerero ojempekie kari tasanotatsiri eirokewa opomerentsitantatsi zariorika irointanake oankirentsipe kemperi kanirri shinki koricha pashinip
120,abireri perani abireri itsipatarini isaiki ibankoki icharinepe mapero antaberenti,abireri perwni abireri otsipatarini isaiki ibankoki icharinepe mapero antaberenti,abireri pperani abirei itsipatarini isaiki ibankoki icharinepe mapero antaberenti,xbireri perani abireri itsipatarini isaikji ibankoki icharinepe maperlo antaaberenti,aabireri perani abirerii itsippatarini isaiki ibankoki icharihepe mañero antabsrenti,abireri perani abirfri itsipatarini isaiki ibanoki icharinepe mmapero antaberenti
121,abiro isha imantsiyabaitati imapokashitanaka iranaka ishijatanaka aisati ikamarankatanake,abiro isha imantsiybaitati imapokashitanaka iransaka ishijatanaika asati ikamarankatanake,abiro iha imantsyabaitati imapokzshitanaka uiranaka ishijatanaka aisati ikamarankatanake,abiro isha imantwiyabaitati imaplkashitanaka iranaka ishijatanaka aixati kkamarankatanake,airo lsha imantsiyabitati imapokashitanaka iranaka ishijatanakz aisti ikamarankatanake,abiro ishwa imantsiyabaitati imapokashitanaka iranaka ishijatanaka aiszati ikamarankatanake
122,abiro isha imantsiyabaitati jetashitanaka iranaka ishatanaka ejati ikamarankanaki,abiro isa imantsiyabaitati jetashitanaka ranaka ishatanaka ejati ikamarankanski,abiro ish imantsiyabaitati jetashitanka iranaa ishatanaka ejati ikamarankanaki,abirro isjha imantsiyabaitati jdtashitanaka iranaka ihatanaka ejati ikamxrankanaki,anbiro sha imantsiyabaitati jetashitanaka iranaka ishwtanaka jati ioamarankanaki,biro ieha imantsiyabajtati jetwashitanaka iranka ishatanaka ejati ikqmarankanaki
123,abiroka iroñaka pantabaje koni oshiyaro iroka tsapaye,biroka irñaka pantzbaje jkoni oshiyaro iroka tsapaye,abiroka iroñak antabaje okoni owhiyaro irokaa tsapaye,abitoka iroñaka pantabaje koni oshiyaro irokw tsapatye,abirooka ieoñaka pantabaje koni oshiysro iroka tsapaye,aniroka iroñaka ppantabaje koni osjhiyaro itoka tsapaye
124,abirokame shaaki jaoka pikantyameri,abirokame shaaki jzaoka pikantyameri,airokame shaai jaoka pikantyameri,birokame shaaki uaoka pikantyameri,abirokame shaaki jaoka pikantyameri,abirokame suhaaki jaioka pikantyamefi
125,abiro meka poimishitobero maroni mabakiro tsantsakiro,abiro meka poimishitobero maroni mabakiro tsantsakiro,abidro meoka poumishitobero mroni mabakiro tsantsqakiro,abiro meka poimishitobero kmaroni mabakiro tsantsakirl,abiro mdka poimishitobero maroni mabakirl tsantszkiro,abro meka poimishitobero maoni mabsakiro tsaantsakiro
126,abiro meka poimisokiero pankenatantsi pimatero onashibetea yantakeri akiro jeri iraniri eni,airo kmeka poimisokiero pankenatntsi pimatdro onasjibetea yantakeri akirk jerli irniri eni,abir meka poimisokiero pankenatansi pimatero onashibetea yantakeri airo jei idraniri ni,abiro mek poimisokiero pankenatantsi pimatero ojashibetea yantakreri akiro jeri iraniri eni,abir mea poimusokiero pxankenatantsi pimatero onashibetea yatakeri akir jegi iraniri enoi,abiro meka poimisokierp pankenatantsi pimatero onashibetea yantakeri akiro jeri iranri eni
127,abiro paitatya pikenkishiriari,biro paitatya ikenkishiriari,abiro paitatya pikenkishiroari,abiro paitatjya pikenkishjriari,abiro paitatya pjikenkishiriari,abigo paitatya pikeenkishiriari
128,abirorika antatsineri obantsi aritya pantake orijaniki,agbirorika antatsineri iobantsi aritya pantake orijaniki,abirorika antatsieri bantsi aitya pantqke orijaniki,abieorika antatsinerji oobantsi aritya panake orijaniki,abirorika antatsineri obamtsi arigtya pantakr orijanki,abiroeika antatsineri obatsi aritya pantake orijanliki
129,abirorika pashinisati paita pikamantakotyari,birorika pashinisti paita pikamantakotyari,abirodrika pashinisati paita pikamantakoryari,abirorika pashinidati ppaita pikamantakotyari,abrorika pashinisat paia pikmantakotyari,abirorika pahinisati paia pikamantakotyari
130,abirorika shirampari pisankenatakotero itiyetempari ibetsikantyari amatseirentsi,abirorika shirampwri pisankenatakotero itiyetempari ibetsikantyari amatseirentsi,abirorka hirampari pisankenstakotero itiyetempari ibetsikantyari amatseirentsi,abirorika shiramari pisankenatakotedro itiytempari ibetsikantyari amatseitrentsi,abirorika shirampri pisankenatakotero itiyetempari ibetsikantyari amatseirentsi,abiroika shirampari pisnkenatakotero itiyetempari ietsikantyari amatseirentsi
131,abirorika shirampari pishiyakantakotero amatseirentsi,agbirorika dshirampari pishiyakantakotero amatseirentsi,abirorika shidrampari pishiyakantakoero amatseirentsi,abirorika sjirampari pishiyakantakotero amatseirebtsi,abirorika shirampari pishiyakantakotero amatseientsi,abirorika shiramari pishiyakantakotfro amatseirentsi
132,abisabaketa osheki kitaiteri impoiji irijate aparoni ishaninka kamaintsiri iramonkotero iranojatero kanirishi inkishokantyarori iñanatantyarori ara yabisakeri eirokea okamitsi kanirimashi,abizabaketa osheki itaiteri impoiji irijate paroni ishaninka amaintsiri iramonkoyero iranojateto kzanirishi inkishokantyarori iñanatantyarori arsa yabisakeri eirokea okamitsi kanirimashi,abisabaketa osheli kitateri impoiji irojate aparoni ishaninka kamaintsiri iraonkotero iranojatero kanirishji inkishokzntyarori iñanatantyarori wra yabisakeri eirokeq okamitsi kanirimashi,abisabaketa oshei kihtaiteri imloiji irijte aparoni isaninka kamaiintsiri iramonikotero iranojatero kanirishi inkishokantjarori iñanatanhtyarori ara yabisakeri erokea okamitsi kanirimashi,abisabaketa oaheki kjtaiteri impoiji irijate aparoi ishanjinka kamaintsiri iramonkoteo iranojaterk kairishi inkishokantyarori iñanatantyarori ara yabiskeri erokea okamits kanirimashi,abissabaketa osheki kitaiteru impkiji irijate aparoni ishaninka kamaintsiri iramonkotero iraojatero kanirishi inkishokantyqarori iñanatantyafrori ara yaisakeri eirokea okamitsi kahirimashi
133,abisaintsiri osarentsi yobetsikajeitake kiro jariña poyeniki iriori yabirosati yanakotakeri poyenisati okarati kiro jariña,absaintsiri osarensi yobetsikajeitae kiro jxariña poyeniki iriori yabirosati yankotakeri poyenisati okarati kirpo jariñ,abisaintsiri osaentsi yobesikajeitake lkiro jariña poyfniki iriori yabiroswati yanakotkeri poynisati okarati kir jriña,abisaintsiro osarrentsi yobetsikajeitake kro ariña poyeniki irilri yabigosati yanakotakeri poyenisqti okarati kir jariñ,abisaintsjiri osarentsi yobetsikajeitake kiro jariña poyeniki iriori yairosati yanakotakeri poyejnisati okarsti kiro jarña,abisaintsiri ñosarentsi yobetsikajeitake kiro jsriña poyenii iriori yabirosati yanakotaeri poyenisati okarat kiro jariña
134,abisake anampiki shiarori amenakeri shiyakantsiki,abisaje anampiki shiarori amenakeri shiyakantsiki,abisake anampiki snhiarori amenakeri shiyakantsiki,abisake aanampiki shiarori amenakeri shiyakantsiki,abisake anampiiki shiarori amenaker shiyakantsiki,abiake anampiki shiarori amenakeri shliyakantsiki
135,abisake apite kitaiteri ipiyanaja ibankoki ipapakero ijina shinkorentsi shintori,abisale apite kitaitei ipiyanaja ibanoki ipapakerio kjina shinkorentsi shintori,abisake appite kitaiteri ipiyanwaja ibanoki ipapakero ijina shinkorentsi hintori,abisake apit kitaiteri ipigyanaja oibankoki ipapqakero ijina shinkorentsi shintori,abisake apite kitaieri opiyanaja obankoki jipapakero jina shinkorentsi shntori,abisake apte kitaiteri ipiyanaja ibankoki ipapakero ijina hinkorentsi hintori
136,abisake osamani kitaeteri ashaninkape timatsi inampiki ibankope irashi itomi irishinto aisati irashi apa,abisake osamani kitaeteri aehaninkape timatsi inamñiki ibankope iradshi itomo irishjnto aisati iashi apa,abisakd osamani kitseteri ashaninkappe timatsi ihampiki ibankope irashi itomi irishito asati irashi qpa,abisake osamani kitxeteri ashninkape timatdi inampiji ibankope irashi litomi irishint aisati lrashi apa,abisake osamani kigtaeteri ashaninkape timatski inampiki ibankoe irashi itomi irishknto isati irahi apa,abisake osamani kitqeteri ashaninkape timtsi inampiiki ibankop iashi itomi irishinto aisati irasui apx
137,abisake osheki osarentsi kantimaitacha irojati irosati ankemisanteri ikantiri kamori abisabetakia osheki osarentsi ankamajeibetakia kantimaitacha ashaninka kamori kaamaniri inijeitati iriyotake kempoyajeiterini atomipaye,abisake osneki osarentsi kantimaitafcha irojai irosati ankemisanteri ikantiri kamori abisanbetakia osheki osarentsi anamajeibetakia kantimajtacha ashanknka kmori kaaaniri nijeitati iriyotake kempoyajeiterni atomipaye,abiszake oshei osarehntsi kantimaitacha irojati irosati ankemisanteri ikaniri kaori xabisabetakia osgeki osarents ankamajeibetakia kantimaitacha asaninka kamori kaamaniri inijeitati irijyotake kempoyajeiterini atomipaye,abisake isheki osarenti lkantimaitacha irohati irosati ankemisanteri ikantlri kamori abisabtakia osheki osarentsi ankamanjeibetakia kqantimaitacha ashaninka kamori kasamaniri inijeitati iriyotake kempoyajeiterini atomipzye,abisake osheki osarentsi kantmaitacha irojati irosati ankemianteri ikwntiri kamori abisabetakia osheki osarsntsi ankamajeibetakia ksntimaitacha ashanink kamori kaamaniri inijeitatki ifriyotake kempoyajeiterini atomipaye,abisake osjeki osarwntsi kantimaitacha ieojati irosatu ankemisanteri ikantirii kamori abisabetaki osheki osarentsi ankamajeibetakia kangtimaitacha ashaninjka kamor kaamaniri unijeitati iriyorake kempoyajeiterini atomipaye
138,abisake osheki osarentsipe piayetaka impokirope betsainkachari ikantaitiri,aisake oshei osarentsipe piayetaka impokirop betsainkachari ikantaitiri,abisake osheki oaarentsipe piayetaka impokirope betsaainkachari ikantaitiri,abisake osheki osarensipe piayetaka impokuirope bsetsainkachari ikntaitiri,abisake osheki osqrentsipe piayetaka impñkirope betsainkacgari ikantaitliri,aabisake oosheki osadrentsipe piayetakxa impokirole betsainkachari ikantaitjiri
139,abisake osheki osarentsi yobametsayetakero maroni ikenkishiriayetakari,wbisake osheiki osarentsi yobametsayetakero mroni ikenkishieiayetakari,abiske ñsheki osarentsi yobametsayetkero maroni ikenkishiriayetakari,abisake osgheki osarentsi yobametszayetakero mwaroni ikenkishirjayetakari,abisake osheki oxarentsi yobametsagyetakero maroni ikenkishiriayetakar,abisake osheki osaremntsi yobametsayetakero maoni ikenkishiriayetakari
140,abisanake inkani te ipiyashitajero,abisanake inkani fte ipiyashitajero,abisanake inkani e ipiyashitajer,abbisanake inkani te ipiyashiytajero,abisanake inkani te ipiyashitajero,abixsanake inikani tf ipiyasbhitajero
141,abisanake maba kitaiteri jatake tomirishiki irante ibankoshi tsimiki yojokapaintirora yaanakinerori chapinkirake,abisanake maba kitaiteri jatake tomirishiki irante ibanmkoshi tsimiki yjokapaintirora yaanakinerori chapinkirake,abisanske aba kitqiteri jatak tomifrishiki irante ibankoshi tsimiki yojokapaintirora yaanakinerkori chapinklirake,aisanake maba kitaiteri jatake tomidishiki irante ibankoshi tsimiki yojokapaintirora yaanakinerrori chspinkirake,abisanake mmaba kitaiteri jatake tomigishiki irantte ibankoshi simiki yojokapaintirlra yaanakinerori chapinkirake,abisanake mava kitaifteri jatake tomirishiki irante ivbankoshi tsimiki yojokapaintirora yaanakinerori chapinkirakwe
142,abisatsine aririka yashaninkatyari ashitariri piratsipe,abisatsine aririka jashaninkatyari ashitariroi piratsipe,abisatsine aririka ysshaninkatyari ashitarii liratsipe,abisatsine aririka yazshaninkatyari ashitariri piratsipe,abisatsne aririka yashaninkatyari ashitriri piratsipe,abissatsine aririka yashaninkatyari ashitariri piratsipe
143,abisayetatsine okanta otsonkea piñantyaro pisankenatero kenkitsarentsi pikenkishiriakari,abisayettsine oksanta ogsonkea piñantyaro pisankenatero kenkitsarentsi pikenkishiriakar,abisayetatsine okanta otsonkea puñantyaro pisankenatero kenkitsarentski pikenkishriakari,abisayetatsine okanta ñtsonkea piñantyatro pisankenaytero kenkittsarentsi pikenkishiriakari,abisayetatsine okanta otsokea piñantyaro psankenatero kenkitsarentsi pikenkishiriakaroi,abisayetatsine okanta otsonkea pjiñantyaro pisankenatero kenkitsarentsi pikenkishiriakaeri
144,abisayeti arika ik oityayeteri pashini añayetatsiri iyobayetyari timatsi pashini kempe yoshentiri yanitantayetari aisati oshekiayete okantakoyeta,abisayeti arika ik oityaheteri pashini añayetaftsiri iyobayetyai tiatsi pashini kenpe yoshentirri yanitantayetar aisati oshekiyete okantakoyeta,xabisayeti arika ik oityayeteri pashini añayetatsiri iyobayetyari timmatsi pashini kempe yoshentiri yanitantayetari aisati oshekiayerte okzntakoyeta,abisayeti arikz ik oityaysteri pashini añayetatsiri iyobayetysari timasi pashinj kempe yoshetiri yanitantaydetari aisati ozhekiayete okantakoyeta,abisayeti aria ik oityaeteri pashini añayetatsiri iybayetyari timatsi pasini kempe yosshentiri yanitantayetari aisxti oshekiayete okantakoyeta,zbisayeti arika imk oityayetwri pashini añayetatsiri iyobauyetyari timatsi pashjni kemp yoshentiri yanitantayetari aisati oshekiaydte okajtakoyeta
145,abisayeti arika ikoityayeteri pashini añayetatsiri iyobayetyari timatsi pashini kempe yoshentiri yanitantayetari aisati oshekiayete okantakoyeta,abiayeti arika ikoityayeteri pashini añayetatsiri iyobayetyari tjmatsi pashii kmpe yoshentri yanitantayetadi aisai oshekiayete okantakoyeta,abisayeti arka ikoityayeteri pashini añayetahtsiri iyobayetyari timatsi pashini kempe yoshntiri yanitantaetari aisatji shekiayete okantakoyet,abisayeti rika ikoityayeteri pashini añayetatsiri iyobayetyari tmatsi pashini kempe yoshentiri yanotantayetari aiszti oshekiayete okantakoyeta,sbisayeti arika ikoityayeteri pashlini añayetatsiri iyobayetyari timqtsi pashini keme yoshentiri yanitantayetari aisati oshekiayete okantakogeta,abisayeti arika ikotyayeteri pashini añayetatsiri iyobayetyari tmatsi pashini kempr yoshentiri yanigantayetari aisti oshekayete okantakoyeta
146,abishimotakeriri apa jeri iye aparoni kitaiteri ijatake apa jaye inchapanki aisati kompiroshi ibetsikantyari obanko chooki yoijatanakeri iye,bishimotakeriri apa jeri iye aparoni kitaiteri ijaake apa jaye inchapanki aisati kompiroshi ibetsiantyari obanko cnooki yoijatanajeri ihe,abishimotakeririi apa jeri iye aparoni kitaitri ijatae apxa aye invhapanki aisati kompiroshi ibetsikanyari obbanko chooli yoijatanakeri iye,abishimotkeriri apa jeri iywe apqaroni klitaiteri ijatake apa jye inchapanki aisatj kompiroshi ibftsikantyari obankko choki yoijatanakeri ye,abishimotakeriri aa jeri ye aparoni kititeri ijatake ap jaye inchapanki aisati kompiroshi ibetsikantyari obanko chñoki yoijatanakeri iyfe,abishikotakeriri apza jeri jye aparoni kitaiteri ijatake apx jaye inchapanki aisati kompiroshi ibetsikatyari obanko chooki oijatanakeri iywe
147,abishimotantsi kantakoyetantsi kenkishiriantsisanori kenkitsarentsi kenkitsatabakantsi ñanarentsi ñanarontsipana obabiroñantsi orijanitsapari osankenaitoki paita noyotakeri,aabishimotantsi kantaoyetantsi kenkishiriantsisanori kenkitsarentsi kenkitsatabakantsi ñanarentsi ñanarontsipanna obabiroñantsi orijanitsapari osankenaigtoki paita noyotakei,abishimotansi kantakoyetantsi kenkishiriantsisanori kenkitsarehtsi kenkisatabakantsi ñanaremtsi ñanarontsipxna obabiroñantsi orijanitsapari osankenaitoki paita noyotakeri,abishimotantsi kantwakoyetantsi kenkishiriantsisanori kenkitsarentsi kenkitsatabakantsi ñanxrentsi ñanarontsipana obabiroñanttsi odijanitsapari osankenaitoki paitqa nyotakeri,abishimotantsi kantakoyetantsi kenkishiiantsisanori kenkitsarentsi kenkitsatabakantsi ñanarentsi ñnarontsipana obabiroñajntsi orijanitsapari osankenaitoki aita noyotakeri,abishimohtantsi kantakoyetantsi kenkishiriantsisanori kenkitsarenrsi kenkitsatabakantsi ñanarentsi ñanarontspana obabiroñantsi orijanitsapari osankkenaitoki paia noyottakeri
148,abishimotantsi okantakotiro,abisuimotantsi okwntakotiro,abishiotantsi okahtakotiro,abishimotantsi okantakotido,abishimotantsi okxntakotiro,abishimotansi okantakotiro
149,abishimoyetirori apatotantsipe meka apatotantsipe sabikayetatsiri anampipeki osheki pomerentsitantsi abishimoyetirori,abishimoyetirori apatotanteipe meka apatotantsipe abikayetatsiri anamopipeki sheki pomerentsitantsi aishimoyetirori,abishimoyetirori apatotantsipe meksa apatotantsipe sabikayetatsiri anqampipeki osheki pomerentsitantsi abishimoyetirori,abisimoyetirori apatotantsipe meka apatotantsipe sabikayetatsifi anampipeki oshelki pomerentsitanti abishimoyetirori,abishimoyetirori apatotantsuipe meka apatoantsipe saikayetatsiri anampipeki oosheki pomerentsitantwsi abishimoyetirori,abishimoyetirori apatotanfsipe meka apatotantsipe sabikayetatsiri anampipeki osheki pomerentsitantsi abishimoyetirori
150,abitsainkero ikantetiri mesa ari aberori ajakantyari aisati ayetakeri abetsikantakarori,abitaainkero ukantetiri mesza ari aberori ajakantyari aisati ajyetakeri abetsikantakarori,aboitsainkero ikantetir mrsa sri aberori ahjakantyari aixsati ayetakderi abetsikantakarori,abitsainker ikantetiri mssa ari abefori ajakantyari aisati ayetakeri abetsikantakarori,abitsinkero ikantetiri mesa ai aberori ajakantyari aisati aytakeri abetsikantakarori,abitsainkero ikantretiri mesa ari abeerori ajakantyai aisati ayetakeri abetsikanftakarori
151,abiyetiri tomirishiki anampipeki maroni antayetiri anampipeki ayetiri te apaniro abiyeteri koria emoki sanipanki katsikori pashinipe,abiyetiri tomirisiki anampipeki maroni antayetiri anampipeki ayetri te appaniro abiyetei kpria emñoki sanipwnki katsikotri pashiinipe,abiyetiri tomirishiki anampipeki marni xntayetiri anakpipeki wayetiri twe apanirlo xabiyeteri kpria emoiki sanianki katsikori pashinipe,abiyettiri tomirishiki anampipeki mqaroni antayetliri anampipeki ayetiri te apaniro abihyeteri korja emoki sqnipanki katsikori pshinipe,abiyetiri tomirishiki zanampipeki marni antayetir anampipeki ayeetiri te apanirko abiyteri koria emoki sanoipanki katsikori pashinipe,abiyeftiri tomirishiki anxmpipeki maroni antyetiri anampipeki yetiri e apaniro abiyetderi koria eemoki sanipanki atsikori pashinipe
152,abiyetirori itapoitiro otsonkara omentantanakiari inchato yatsikokitantyarori chochokipe timatsiri jenoki,abiyetirori ittapoitiro otsonkara omentantanakiari inchato yahtsikokitantyarori chochkipe timatsiri jenoki,abiyetorori itapoitiro otsonkara omentantanakiari ichato yatsikokitantyarori chochokipe timatiri jenoki,abyetirori itapoitiro otsokara omentantamnakiari inchsto yatsikokitantyarori chochpkipe timatsiri jenoki,abietirori itapoitiro otsonkara mentantanakiari inchato yatsikokitantyarori chochokip timatsiri jenoki,abitetirori itapoitjro otsonkara omentantsnakiari inchato yatsiklkitantyarori chochkipe timatsiri jnoki
153,acharijati,adcharijati,acharijati,acharijati,acyarijati,acharijahti
