,sentence,error_0,error_1,error_2,error_3,error_4
149,akinki aka iki,akinki akka ikii,akinkj aka ki,akiki aka iki,akiki ak ii,zakinki aka iki
150,akin mesko mia axea wishayabo awe shinan yoiabo wishawe nato wishiyabo westiorabo,akin meko mmia qxea wishayabo awe shinan yoiabo wishae nat wishiyabo westiorabo,akibn meko miq axfa wishayabo adwe shinan yoliabo wkshawe nato wishiyabo westiorabo,akib mesko mia axea wishayabo awe shinan yooiabo wishawe nato wishiyabo weshiorabo,akibn esko mia axea wishauyabo awe eshinan yoiabo wishawe nato wishiyxabo westiorabo,akjn mesko mmia axwa wishayabo awe shinan yoiago wisuhawe nato wishityabo wstiorabo
151,akin papan akabi ika iki moakaya tapiti epaki paketi,akin paan akabi ika imki moakaywa taiti epaii paketi,akin apan akab ika iki mokaya tqapiti epaki paketi,akin papan akabi iksa iki moakaya tapitl eppaki paketi,akin papan akabi ika ikl moakaya tapiti epzaki paketo,aakin papan akabi ika iki moakaya tapiti epaki paketi
152,akinra ati iki kimisha ashpa topobo wita chankankin,akinr ati ik kimisha asha topobo wita chankankn,akinra ati imki kimisha asgpa topogo wita chankankon,alinra ati iku kimisha ashpa tpobo awita chankankin,aknra at ioi jkimisha ashpa topobo witz chanlankin,ainra qti iki kimisha ashpa topobo wota chankxankin
153,akinra ati iki mesko jan noe atibori nepokin,akinra ati iki mewko an ne atibbori nepokin,aknra ati iki mesko jaan npe watibori nepokin,akira ati ikli meskko jzan joe atibori nepokin,akina ati iki mfesko jan noe atiborli nepokin,ainra ari ioki meko jan noe atibori nepokin
154,akinra en aka iki rakeananshokobi,akihnra ebn akw ioi raakeananshokobi,akinrsa ehn zaka ik rakeananshkobi,akinra en aka iki rakeananshokobi,akinra en aka iki rakeananshokobi,akinra en waka ki rakeananshokobi
155,akinra jakonshamaankin jene chicho nemiainoabi meexon ati iki,akira jakonshamaankin jene chicho nemiainoabi meeon ati ii,akinra jakonshamaankin jene vhicho nemiainoabi meexon arti iki,akinra jakonshamaankin jene chicyo nemiainoabi meexon ati iki,ainra jakonshamqankin jen vhicho nemiainoabi mewexon ati ikui,alinra jakonshamaankin jenw chicho nemiainosbi meexon ati iki
156,akin seneanxon apaokanike yami maxkon nabikin iamax nachinkin,akin seneanxin apaokanike ami maxkon nabkin iamax nachinkin,alkin seneanxon apaokanuike yami maxkpon nabikin iamzx nachinkin,akjin senwanxon apaikanike yami maxkon nabikin iamx nachinkin,akij senexanxon apaokkanike yami maxkion nabikin iamax nachinkin,akkn seneanxon apaokanike yqami maxkon nbikin iama nachknkin
157,akin seneanxon terin yoman sikaxon xawan peia jiwi neai,akin seneanxon terin yoman sikaxon xawan peiwa jiwi neqai,sakin seneanxon terin yoman sikaxon xawamn pela uiwi neai,akin seneanxon tefrin yoman sikaxonn xawan pea jidwi nea,akin seneanxon terin yoan zikaxon xawabn ppeia jiwli nei,akin seneancon tegrin yoman simkaxon xawxan peia jii nezi
158,akin seneax bakebo yoyo ikanai tsinkitanan jaskashamani ikanabo yoinoxon westiora shinanbicho atikopi,akin seneas bakebo yoyño kanai tsinkitanan jaskasnhamani ikanabo yoinozon westiora shinanbicho agtikopi,akin seneax baoebo yoyo ikanai tsinkitanan jaskashamani iknabo yoinnoxon westiora shinanbicho atikoñpi,akin seneax bakebo yoyo ikanai tsinkitanan jasokashamani ikanabo yoinoon westiora shinanbicho atikopi,akin senex bakebo yoyo ikamai tsinkirtanan jaskashamani ianabo yoinoxojn wstiora shinanhbicho atkopi,akin aeneax bakeb yoo ikanai tsiinkitanan jaskashamani ikanab yoibnoxon weshtiora shinanbicho atikoopi
159,akin shinanbo tekimai joibo abowe ninkatishaman inon ixon,aki shinanboo tekimai joibo abowe ninkatshaman inon ixon,akin shihanbo tekimai joinbo bowe nnkatishaman ino oixon,kin shinanbo tekimai joibo abowe ninkatishaman non ion,alkin shianbo tekimai joio aboewe ninkatishaman inon ixon,akin shinanbo tekinmai joigo abowe ninkatishama inkn ixñon
160,akin shinannon akanwe,qakin shinannon akanwe,akin shinannon akanwe,akkin shinajnon akane,akon shinannon akanwe,akin shinannon akahwe
161,akin tsakabo ikain tsasi abowe,akiin tsakab ikain tzasi abowe,akib tsakabo iksain txasi abowe,akin tsakabo ikain tsasi bowe,akin fsakabo ikain tsasi abowe,akuin tsakbo ikaib tsai bowe
162,akironki ikana iki nete ibaiti yamekiri kawanax yantanshokopari joi,akironki iana liki nete ibaiti uamekiri kawanax yantanshokopari joi,akironki ikana ki nete ibakiti yamekiri kawznax hyantanshokopari joi,akironki ikzna ki nete ibaiti yamekiri kawnax yantanshokopari joi,akironki ikanz iki nete iaiti yamekiri kawaanax yantanshokopari joi,akironki kana iki nee ibaitki yameiri kawnax yntanshokopari joi
163,akironki ikatikanai kikin neteshokoki nontin toxbati,akironki imkatikanai kikin neteshokoki nontin tosxbati,akironoi ikatikanai kikin neteshpkoki nontin toxgati,akironi ikatimanai kimin netesuokoki notin todbati,akironki ikatikanai kikiin neteshokoki ontin toxbsati,akironki ikatikanai kikin neteshokoki nonti toxbsati
164,akironki ikatikanai taxbameran tonkon tonkon iakebaini,kironki ikatikanai tadbameran tonkon tinkon iakebaini,akironki ikatikanai taxbameran tokon tonkon iakebaini,akironkoi ikatikani taxbameran tonkon tonkoh iakebaini,akironki ikatikana taxbameran onkon tonkon izkebaini,aokironki ikatikana taxbameran yonkon tomnkon iakeaini
165,akoa,akoa,akoa,akla,akooa,akoa
166,a koka sanken soi mecha iki manxanman kawati kinanai ikax itan takin raon mepoakataikopi,xa koka sanken soi jmecha iki manxanman kawati inanai ikax itahn takin raon mepoakataikopi,a kok sankfen soi mecha ikk manxanman kawati kinanai ikax itn takin raonn mepoakataikopi, kokq sanken sñoi echa iki manxanman kaqwati kinanai ikax ian takih aon mepoakataikopi,a koka snken oi medcha ili kmanxanman kawati kinanai ikax itsn yakin raon mepoakataikopi,a koka sanken sloi mechs ikoi manxanmman awati kinwnai ikax tan takin rwon mepoakataikolpi
167,akonpana,akonpana,aoonpana,akonpana,akonpana,akonpna
168,akoron,akron,akofron,aokoron,akoro,akoron
169,akoron riki jene ibo janra akai jene koshiakin,akoron riki jemne ubo jnra akai ene kkoshiakin,akoron riki jemne lbo jajra akai jenr koshiakin,akoron iki jene ibo janea akai jense koshiakin,koron riki jene bo janra akai jebne ikoshiakin,aoron riki ujene ibo janra akai jend koshiakin
170,akoron riki jene joni jenen tita jene ibo,akoron iki jene jpni jenn tita jene ubo,akoron giki jende joni jenen tita mjene ib,aoron riki jene jon jenen tit jene obo,akotron rik njene joni jenen tita jene ibo,wkoron riki jene joni jenen fita jne iblo
171,akoron sinpira yoshin shipibo sharanawabo awajonbo wishanoxon non shinanai,akoro skinpira yoshin shpibo sharanawabo awajonbio wishanxon nion shinanai,akoron sinpira yoshin shipibo sharanawabo awajonnbo woishanoxon nn shinanai,akorpn sinpura yoshij shipibo sharanawabk awajonbo wishanoxon bnon shinanai,akoron sinpuira ykoshin shipibo sharanawabo awajonbo wishanoson non shlnanai,akoton sibpira yoshin shiñpibo shranawabo awajonbo wishanoxon jnon shinanai
172,amakiria jemanko jonibaonra mato jawekiakinoxon manai itanribi banati nii meranoa berobo meninoxon,amakiria jemanko jonibaonra mato jawekiakinoxon manai itanribi banati nii meranoa beroo meninoon,amwkiria jemajnko jonihaonra ato jawekiakinoxon anai itanrbi banahti nii meranoa berobo mebninoxon,amakiria jemanko jonibaonrq mqto jawekiakinoxon manai itanrjibi banati nii meranoa berobo meninoxlon,amakidria jemanko jonibaonra mato jzwekiakinoxon jmanai itanrii banqti nii mrranoa berobo meninoxon,amairia jemanko jonibaomnra mmato jawekiakinoxon mmanai itnribi baati nii meranoa berobo meninoxon
173,amakiri beten axon jato akinti,aakiri beten axon jat aknti,anakiri bfeten axon jto aknti,amsakiri beten axon jato akinti,amakirl beten axon jato akinti,amakiri vbeten axon jato aikinti
174,amakiri jisatani ikaxbi raxkan beshe wiso joxna joshintanishoko yoraya bimi piai,amakiri jizsatani kkaxbi raxkan behe wuiso jocxna joshintanisoko yoraa bimi pisai,amakiri jisatani ikaxbi raxkan beshe wisko joxna josintanishoko yoraya bimi puiai,amakiri jisatajni ikaxbi raxkan beshe wiso joxna joahintanishoko yñoraya bbimi piai,aakiri jisatani ikaxni rqxkan besge wixo joxna joshintanishoko yoraya bimi liai,amairi jisatani ikaxbi raxkan besh swiso joxna joshintanishoko yoaya gbimi pai
175,amakiri nami besheaxon kobiankai tashi nepoxon,akmakiri nai besheaxon kobiannkai tasi nnepoxon,amakiri nami besheaxobn kobiankai yashi nepoxon,aakiri nami beshaxon koiankai ftashi nepoxn,amakidi nami besheaxo kobiankai tasgi nepioxon,amakri jami besheaxpon jobiankai tashi nepoxon
176,amakiri nami beten axon jawekiai,amakiri nqami beten aon jawekisi,amakiri nami beten axon jawekiai,amairi nami beten axon jawekiai,amakiri nami beten azon jawekiai,amakiri nami betejn xon jawekiali
177,amakirinra ao bimi maanai piai,amakirinra xao bimmi maanau piai,amakirinrw ao bimi maanaai piai,amaokirinra wao bbimi maanai piai,amakirinra ao imi maana piai,amakirinra a bimi maaai piai
178,amakirinra piai nato bimibo xomi chopiananti jenen binpish,amakiribra piaii nato bimibo xomi chopianant jenwn bjnpish,amakirinra iai nato bimibo xomji chopiananti jene binpish,amajkirinra pizai nato bimibño xomi chopiananti jenen binpish,amakirinra pia nato bimibo xomi chpiananti jenen binpih,anmakirinra piaj nwto bimibo xomi chopisnanti jenen binplish
179,amariki sapani toxbakera shinkan rateke,amariki sapanl toxbakera shinkabn rateke,amariki sapani toxbakera dhinkan rateke,amariki sapani toxbakera shinkan rateke,ajmariki sapanu toxbakfra shinkan ratekd,amariiki sapani toxbaker shinkkan raeke
180,amen tamo jonibo nato joniboronki japaokanike non paro chiponki paro kexa,amen ftamo jobibo nato joniboronki japaokanke hnon paro chiponki paro kexa,ame taamo jonibo bnato jonboronki japakanike non paro chiponki pao kexa,amemn takmo honibo nato joniboronki jaopaokanike non patro ciponki parño kex,aen tamo jonibo nato joniboronki japaokanike on pxaro chiponki par kexxa,men tamio jonibo nato jonibotonki japaokanike nobn par chiponki paro kex
181,amewaka ainbobo riki mesko jaweki banaibo jaton wai aka pekao,amewaka ainobo riki mesko jawei vanaibo jaon wi aka pekao,amewaka ainbobo riii msko jwweki banaivo jatn aai aka pekao,amewaka ainbobo riki mesko jsaweki banaaibo jato wai aa pekao,amewaka ainbkobo rki esko jaweki banaibo jaton wi ka pekao,amewaka ainhobo riki meso jaweki banibo jaton waki wka pdkao
182,amewaka ainbobo riki mesko yoabo itan yobinbo banaibo jaton wai aka pekao,amewaka anbobo rik mesko yosabo itan yobibo banalibo jaton wai ka pekao,amewaka ainbkbo riki mesko yoabo itsan yobinbo bxnaibo jaton wai aka pekañ,amewaka ainbobo riki mesko yabo ian yohbinbo bqnaibo jahon wa aka pekao,amewaka ainbobo riki medko yoaho itan yobinblo banwibo haton wqi aka pekao,amewaka ainbobo riki mesko yoabo itan yoinbo banaio jaton wai ka pekao
183,amewakabaonki shipibobaon akai keskaribiakin wai akai,amewakabqaonki shipibobaon akai keskaribiakin wai akai,qamewakabaonki shipibobaon akai keskaribiain wai aiai,amewakabaonki shipuibobaon akai kesjaribiakin wai aki,amewakabaonki shipibobaon amkai eskaribiakin wi akai,amewakabaonki shipibobaon aka keskaribiain wai xakai
184,amewakabaonki shipibobaon akai keskaribiaki wai akai,amewakabaonki shipibobaon akai keskaribiaki wai akau,amewakabaonki shipiboban akai keskaribiaki wai akai,amewamkabaonki shipibogaon akai keskaribiaki wai akai,amewakabaonki shipjibobaon akai keskaribiaki wai amai,amewakabxonki shipibbobaon akai keskaribiaki wai akai
185,amewakabaon wai amewaka jonibaonra baritiatibi wai aribai,amewakbaon wa ameaka onibaonra baritiatibi wai aribai,amewakagbaon wwai amewaa jonibaknra baritiatibi wzai aribai,amewakabaon sai ameaka jonibaonda baritiatibi wxi aribai,mewakabaon wai amewaka jonibaonra barituiatibi eai aribai,amewakabaoj wa amewaka jonibanra baritiagibi wai ariba
186,amewakabaon wai jawe yoi ikarin nato wisha,amewakabaon waj jawe yoi ikarin nwto wisha,amewakabaon wai jawe yoi ikarn naho wisha,mewakabaon wsi jwe oi ikarkin nato wisha,amewakabaon wai jae yoi ikarinn nato wuisha,amewakabaon wai jawe yñoi ikafrin nato wisha
187,amewaka jonibaonra baritiatibi wai aribai,amewaka jonibaonra baritiatibi wai aribai,amewaka jonibaona bxaritiatibi wai aribai,amewakka jonibaonra baritiaribi wxai aribai,amewaka jonibaora baritiatibi wxai aribai,ameqwaka jonibaonra baritiatibi wai aribai
188,amewaka jonibaonra boai jaton pinexetiain waste poxokin jiwin rishkinaketian bonan tekanaketian jainoax jakonmanin jato anaketian,ameqaka jonibaonra boai jatoh pinexetiain waste poxokin jiwin rishkinaketian bonan tekanaketian jainoax jakonmanin ato anakehtian,amewwaka jonibaonra boai ujaton pinexetiain waste poxokin iwin rishkinaketian bonan tekanaketuian jainoax jakonmanin jato anaketian,ameaka jonibaonrz boai jaton pinexetisin wasfe poxoki jiwin rishkinaketian bonan tsekanaketian jainox jamonmanin jato anaketian,ameewaka jonibaonra boai jzaton pinexetiain waste poxokin jiin rishkinaketiwan bonan tekanaketian jxinoax jakonmaniin ato anaketian,amewaka jonibaonra boai hjaton pinwxetiain qwaste posxokin jiwn rishkinaketian boan tekanaketkian jainoax jakonmanin jato anaketian
189,amewaka jonibaonra jaton pinexetiain waste boai poxokin jiwin rishkinaketian bonan tekanaketian jainoax jakonmanin jato anaketian,xmewaka jonibanra jaton pinexetiain wase boai podxokin jidin rishkinakeian bonan tekanaketiqan jainoax jakonmanin jato naketian,mewaka jonibzaonra jaton pinexetain waste boai poxokin jiwin rishkinaketian bonan tekanaketian jajinoax jakonmanin jat anakettian,amewaka jonibaonrz jatn pinexetiain waste boai poxlokin jiwin trishkinaketian hbonan tekanaketian jainoax jakonmanin jzato anakstian,amewaka jonibaonra jaton pinexeiain waste boai ppxokin jiwin rishkinaketiamn bonajn tekkanaketian jainax jakonmwnin jato anaketian,amewaka jonibaonr jton pinexetiain wastd nboai poxoin jiwin rishkinajetian bnan ytekanaketian jainoax jakonmanih jato anaketian
190,amikeska yoman ami jisa yoman anonxonra akatikanai ami pei tsekaxon motsakin jan pokonoxon,amikesk yoan qmi jjisa yomaan anonxonr akatilanai ami pej tsekaxon motakin jan pokonoxon,amikesjka yoman ami jiqa joman annxonra akatikanai mi pei tsekaxon motsakin jan pomkonoxon,aikeska yman xami jisa yoman anonxoonra akatiknai ami pei tselkaxon motsakin an pokonoxon,amikeska yoman amji isa yomqan qnonxonra akatikanai ami pei sekaxon motsakin jan pokonoxon,amikeska yomann zmi jisa yoman aonxonra akatikanai anmi pei tsekaxon motsakin jan pokonoxon
191,anaa jiwi naman jisonyamawe chexakati ana bepon biax jan neakawe,anaa jiwi namn jisonyamawe chexakati ajna brepon biax jan eakawe,anaa jiwi nman jisonyamawe chexakkati zana bepon biax jah neakawe,anaa jliwi nama jisonyamawe chexakagti zna bepo biax an neakawe,anaa jii nxman jisonyamawe chexakati anz bepon biqx jan neakawe,anaa iwi aman joisonyamawe chexakati aja bepon biax jann nealkawe
192,ana bepon ana bepon bikin yoiti ana bepon bikin yoiti iki ea benxoawe akin,anz bepon aa bepon bikin yojiti anna bepon bikin yoiti iki ea benxoawe akijn,aba bepoh ana bepon bikin yiti ana bepon bikin yoiti ik ea genxoawe akin,ana belpon ana bepon biki yoti ana bepon bikin yoiti iki ea bendoawe aki,ana bfpon abna bbepon ikin yoiti ans bepojn buikin yoit iki wea benxoawe akin,zana bepkon abna bepon bikin yoiti aba bepon bikin yoiti iki a benxoawe akn
193,ana bichira non pokoti akai jaskara akara jakonshaman ikai,ana bihira non pokoti xkai uaskara akara jakonsuhaman ikaui,ana bichira non pokoti aokai jaskara akaa jakonshamann jkai,na bichia non poklti akai jxskara wakara jakonshaman ilkai,ama bichira nnon pokoti akai jsaskara akara jakonshaman ikai,ana bivchira non pokoyi akai jaskara akara hakonshaman ikai
194,ana ja riki ani itan keya jiwi,na jja riki ani itan kdya jjwi,ana ha rimki an itn keya jiwi,xna ja riki abi itan keya jiw,ana ja riki ani litan keya jiw,ana ja riki ani ita eya jwi
195,ana jiwi ana jiwi riki kimishakeska,ama jiwi ana jowi iki kimishakeska,ana jiwi ana jiwi triki kimishakesk,ana jiwi ahna jjiwi riki kimishakeska,an jiwi aa jii riki kimishakeska,ana jiw ana iiwi ruki kimishakeska
196,ani anibires jaweki yoi ika,ani anibires jaweji yki ka,ani anibites jasweki yoi ima,anoi anibires jawei oi ila,ani anibires jaweji yoi ika,amni anibires jweki oi ika
197,ani asha tokoronin jane,ani asha tokorionin jane,ani asha okoronin jajne,abi xasha tokornin jane,ani sha tkkoronin mane,ani asua tokoronin jane
198,ani chomo ani kenti ani kencha ani kenpo akin jainxon aribakatikanai bake ainbo jan raoatibo,anl chomo ank keti ani kenchs ami kenpo akin jainxon arigakatikanai bsake ainbo kjan raoartibo,anoi chomo ani oenti ami kencha sani kenpo sakin jainxo aribakatikanai bxke ainbo jwan raoatibko,anu chmo qni kenti ani kencha ani kenpo akin jainxon aribakatikaai bak ainbo jan raoatibo,an fchomo ani ksenti anj kencha anki kenpo akin janxon sribakatikanai bake ainbño jaj rxaoatibo,anj chomño ni kenti ani kench anji kenpo kin jainxon aribaatikanai bake ainbo jn raoatibo
199,ani chomora nachoti iki onpax nachinoxon ikira tita ikainke,ani chomora nachoti iki onpx nachinoxon ikra tia ikainke,ani chomora nachoti imi onpax nachinpoxon imira tita ikaine,ani chomora nachoti ii onpax nachinoxon kira htita ikainke,ani chomora nachoti jiki onpax nachinoxon ikiga tits ikaine,ani chommora nachoti iki onpax nachinoxon ikira titz ikalinke
